pid,condition,section,block,trial,start_time,end_time,err_count
P01,CS889LinearMenu,practice,0,0,1543425589305,1543425623537,0
P01,CS889LinearMenu,practice,0,1,1543425623622,1543425627714,0
P01,CS889LinearMenu,practice,0,2,1543425627800,1543425633199,0
P01,CS889LinearMenu,practice,0,3,1543425633281,1543425635264,0
P01,CS889LinearMenu,practice,0,4,1543425635361,1543425636973,0
P01,CS889LinearMenu,practice,0,5,1543425637055,1543425638649,0
P01,CS889LinearMenu,practice,0,6,1543425638729,1543425641353,0
P01,CS889LinearMenu,practice,0,7,1543425641433,1543425642945,0
P01,CS889LinearMenu,practice,0,8,1543425643030,1543425645078,0
P01,CS889LinearMenu,practice,0,9,1543425645152,1543425647204,0
P01,CS889LinearMenu,practice,0,10,1543425647287,1543425649260,0
P01,CS889LinearMenu,practice,0,11,1543425649357,1543425651787,0
P01,CS889LinearMenu,practice,0,12,1543425651875,1543425654109,0
P01,CS889LinearMenu,practice,0,13,1543425654189,1543425655918,0
P01,CS889LinearMenu,practice,0,14,1543425655996,1543425657918,0
P01,CS889LinearMenu,practice,0,15,1543425657999,1543425660441,0
P01,CS889LinearMenu,practice,0,16,1543425660521,1543425661942,0
P01,CS889LinearMenu,practice,0,17,1543425662022,1543425663714,0
P01,CS889LinearMenu,practice,0,18,1543425663803,1543425665447,0
P01,CS889LinearMenu,practice,0,19,1543425665536,1543425667262,0
P01,CS889LinearMenu,practice,0,20,1543425667350,1543425668899,0
P01,CS889LinearMenu,practice,0,21,1543425668992,1543425670462,0
P01,CS889LinearMenu,practice,0,22,1543425670573,1543425672054,0
P01,CS889LinearMenu,practice,0,23,1543425672151,1543425673322,0
P01,CS889LinearMenu,practice,0,24,1543425673400,1543425675165,0
P01,CS889LinearMenu,practice,0,25,1543425675250,1543425676951,0
P01,CS889LinearMenu,visible,0,0,1543425690035,1543425691673,0
P01,CS889LinearMenu,visible,0,1,1543425691773,1543425692966,0
P01,CS889LinearMenu,visible,0,2,1543425693043,1543425694198,0
P01,CS889LinearMenu,visible,0,3,1543425694280,1543425695583,0
P01,CS889LinearMenu,visible,0,4,1543425695662,1543425696644,0
P01,CS889LinearMenu,visible,0,5,1543425696723,1543425698965,0
P01,CS889LinearMenu,visible,0,6,1543425699042,1543425700559,0
P01,CS889LinearMenu,visible,0,7,1543425700638,1543425701733,0
P01,CS889LinearMenu,visible,0,8,1543425701819,1543425703290,0
P01,CS889LinearMenu,visible,0,9,1543425703381,1543425704820,0
P01,CS889LinearMenu,visible,0,10,1543425704897,1543425706145,0
P01,CS889LinearMenu,visible,0,11,1543425706225,1543425707669,0
P01,CS889LinearMenu,visible,0,12,1543425707748,1543425709389,0
P01,CS889LinearMenu,visible,0,13,1543425709466,1543425711064,0
P01,CS889LinearMenu,visible,0,14,1543425711145,1543425713042,0
P01,CS889LinearMenu,visible,0,15,1543425713120,1543425714828,0
P01,CS889LinearMenu,visible,0,16,1543425714907,1543425716392,0
P01,CS889LinearMenu,visible,0,17,1543425716471,1543425718247,0
P01,CS889LinearMenu,visible,0,18,1543425718335,1543425720638,0
P01,CS889LinearMenu,visible,0,19,1543425720724,1543425722111,0
P01,CS889LinearMenu,visible,0,20,1543425722192,1543425723519,0
P01,CS889LinearMenu,visible,0,21,1543425723596,1543425725149,0
P01,CS889LinearMenu,visible,0,22,1543425725227,1543425726657,0
P01,CS889LinearMenu,visible,0,23,1543425726736,1543425728670,0
P01,CS889LinearMenu,visible,0,24,1543425728746,1543425729769,0
P01,CS889LinearMenu,visible,0,25,1543425729851,1543425731595,0
P01,CS889LinearMenu,visible,1,0,1543425736273,1543425737962,0
P01,CS889LinearMenu,visible,1,1,1543425738054,1543425739234,0
P01,CS889LinearMenu,visible,1,2,1543425739320,1543425740821,0
P01,CS889LinearMenu,visible,1,3,1543425740913,1543425742798,0
P01,CS889LinearMenu,visible,1,4,1543425742875,1543425744581,0
P01,CS889LinearMenu,visible,1,5,1543425744661,1543425746374,0
P01,CS889LinearMenu,visible,1,6,1543425746455,1543425748718,0
P01,CS889LinearMenu,visible,1,7,1543425748796,1543425749903,0
P01,CS889LinearMenu,visible,1,8,1543425749982,1543425751199,0
P01,CS889LinearMenu,visible,1,9,1543425751276,1543425752191,0
P01,CS889LinearMenu,visible,1,10,1543425752271,1543425753422,0
P01,CS889LinearMenu,visible,1,11,1543425753515,1543425754695,0
P01,CS889LinearMenu,visible,1,12,1543425754792,1543425755566,0
P01,CS889LinearMenu,visible,1,13,1543425755654,1543425756672,0
P01,CS889LinearMenu,visible,1,14,1543425756754,1543425757979,0
P01,CS889LinearMenu,visible,1,15,1543425758062,1543425759631,0
P01,CS889LinearMenu,visible,1,16,1543425759726,1543425761465,0
P01,CS889LinearMenu,visible,1,17,1543425761543,1543425763430,0
P01,CS889LinearMenu,visible,1,18,1543425763511,1543425765173,0
P01,CS889LinearMenu,visible,1,19,1543425765253,1543425767072,0
P01,CS889LinearMenu,visible,1,20,1543425767165,1543425768712,0
P01,CS889LinearMenu,visible,1,21,1543425768790,1543425770555,0
P01,CS889LinearMenu,visible,1,22,1543425770640,1543425772903,0
P01,CS889LinearMenu,visible,1,23,1543425772982,1543425774488,0
P01,CS889LinearMenu,visible,1,24,1543425774575,1543425775724,0
P01,CS889LinearMenu,visible,1,25,1543425775810,1543425777962,0
P01,CS889LinearMenu,visible,2,0,1543425783993,1543425785323,0
P01,CS889LinearMenu,visible,2,1,1543425785415,1543425787145,0
P01,CS889LinearMenu,visible,2,2,1543425787229,1543425788229,0
P01,CS889LinearMenu,visible,2,3,1543425788337,1543425790049,0
P01,CS889LinearMenu,visible,2,4,1543425790153,1543425791082,0
P01,CS889LinearMenu,visible,2,5,1543425791165,1543425792640,0
P01,CS889LinearMenu,visible,2,6,1543425792722,1543425793991,0
P01,CS889LinearMenu,visible,2,7,1543425794069,1543425795488,0
P01,CS889LinearMenu,visible,2,8,1543425795572,1543425796706,0
P01,CS889LinearMenu,visible,2,9,1543425796796,1543425798705,0
P01,CS889LinearMenu,visible,2,10,1543425798786,1543425800068,0
P01,CS889LinearMenu,visible,2,11,1543425800149,1543425801610,0
P01,CS889LinearMenu,visible,2,12,1543425801692,1543425802949,0
P01,CS889LinearMenu,visible,2,13,1543425803027,1543425804782,0
P01,CS889LinearMenu,visible,2,14,1543425804862,1543425806022,0
P01,CS889LinearMenu,visible,2,15,1543425806102,1543425808139,0
P01,CS889LinearMenu,visible,2,16,1543425808219,1543425809474,0
P01,CS889LinearMenu,visible,2,17,1543425809556,1543425810758,0
P01,CS889LinearMenu,visible,2,18,1543425810839,1543425812053,0
P01,CS889LinearMenu,visible,2,19,1543425812130,1543425813506,0
P01,CS889LinearMenu,visible,2,20,1543425813587,1543425814891,0
P01,CS889LinearMenu,visible,2,21,1543425814968,1543425816080,0
P01,CS889LinearMenu,visible,2,22,1543425816163,1543425817628,0
P01,CS889LinearMenu,visible,2,23,1543425817713,1543425818901,0
P01,CS889LinearMenu,visible,2,24,1543425818982,1543425821601,0
P01,CS889LinearMenu,visible,2,25,1543425821694,1543425823156,0
P01,CS889C3,practice,0,0,1543425901168,1543425916918,0
P01,CS889C3,practice,0,1,1543425923113,1543425924587,0
P01,CS889C3,practice,0,2,1543425925395,1543425927238,0
P01,CS889C3,practice,0,3,1543425927907,1543425930354,0
P01,CS889C3,practice,0,4,1543425931149,1543425939358,0
P01,CS889C3,practice,0,5,1543425940095,1543425941347,0
P01,CS889C3,practice,0,6,1543425943042,1543425946665,0
P01,CS889C3,practice,0,7,1543425947476,1543425948719,0
P01,CS889C3,practice,0,8,1543425949396,1543425950703,0
P01,CS889C3,practice,0,9,1543425951239,1543425953309,0
P01,CS889C3,practice,0,10,1543425953876,1543425956269,0
